text,likes,comments,shares,Category
"Karla Jacinto, a sex trafficking survivor, says that Alabama Sen. Katie Britt got some facts wrong when talking about her story during her response to President Joe Biden’s State of the Union speech. Britt’s communications director told The Washington Post that the senator was talking about Jacinto and disputed that Britt’s language was misleading. CNN reached out to the senator’s office seeking comment. https://cnn.it/43c6Wza",554,673,151,D
"Here's what to do on those nights where you just know sleep isn’t coming — or, at least, not without a fight.",170,153,36,F
"The image of a smiling Catherine, Princess of Wales, flanked by her three children, should have put a stop to the explosion of speculation over her health and whereabouts. Instead, it triggered a whole new controversy for Britain’s royal family after multiple global news agencies recalled the image from circulation hours later, citing manipulation concerns. | Analysis by Lauren Said-Moorhouse and Max Foster",204,285,27,D
Archaeologists in Turkey have discovered groundbreaking evidence connecting prehistoric facial piercings to the bodies of the people who wore them.,324,146,56,E
"A longtime Mar-a-Lago employee, who is a central witness in the investigation into former President Donald Trump’s handling of classified documents, is now speaking out publicly because he believes that voters should hear the truth about his former boss and the case before the November election. https://cnn.it/3VfIcnY

Watch the exclusive interview on The Source with Kaitlan Collins at 9p ET on CNN and streaming on Max.",804,1001,196,D
A G/O Media spokesperson confirmed that 11 Deadspin staffers were impacted by the move on Monday.,331,247,24,D
"The Israeli prime minister's ""viability as a leader"" may be in jeopardy, a US intel report says, adding that distrust has deepened",549,984,59,D
"Robert Downey Jr. is not shy about acknowledging the importance of his wife, Susan Downey, in his success.",3646,377,135,A
"Kremlin watchers note that Putin’s reelection spotlights a problem: the system built up under his rule is brittle, gerontocratic and vulnerable to a major shock, first and foremost the illness or death of the person at the top.",335,569,32,D
"Airbnb is banning the use of indoor security cameras in listings globally, the short-term rental platform announced.",198,117,15,E
Oscars celebrations were in full swing on Sunday night and no post-show event was more packed with the glittery crowd than the annual Vanity Fair party.,638,291,40,A
The Supreme Court ruling may not come until late June.,1031,1037,66,D
A former Mar-a-Lago employee describes how he unknowingly helped move classified documents onto the former president's plane in 2022.,676,913,114,D
"Catherine, Princess of Wales has apologized for an edited photograph, released by Kensington Palace, that was recalled by a number of international news agencies over manipulation concerns. Kate said she was sorry for ""any confusion"" caused by the image. CNN is continuing to use the photo in the context of the debate around its alleged manipulation.",150,196,33,C
"There was no envelope mix up at the Oscars, but there was some confusion in the audience when Al Pacino casually announced “Oppenheimer” had won best picture.",760,609,49,A
"Satellite images have revealed that Israel is building a road that runs across the Gaza Strip, dividing northern Gaza, including Gaza City, from the south of the enclave. The Israeli military says the route will help Israel “establish an operational foothold” in Gaza. https://cnn.it/3IvUnW7",523,876,130,D
"As the crescent moon makes its appearance Monday to mark the first night of Ramadan, American Muslims tell CNN they feel an urgent need to fulfill a core tenant of Ramadan and their Islamic faith known as zakat, or giving to charity.",292,329,39,C
Caffeine intoxication creates a variety of severely damaging effects on the body.,200,194,61,E
This year’s late-winter jump in prices has been boosted by refinery troubles.,232,557,26,E
"Gobert appeared to accept that a fine was inevitable and was prepared to take the hit, before going on to suggest – without evidence – that sports betting is influencing the way NBA games are being officiated.",399,390,50,D
"President Biden releases his annual budget, aiming to appeal to voters who are sour on the economy with $7.266 trillion in funding proposals that are primarily aspirational.",545,646,52,D
"Should there be an age limit for presidents? CNN Opinion asks two experts to weigh in for a new interactive feature, ""Matter of Debate.""",314,1033,54,D
"When the furry residents of “Sesame Street” talk, adults tend to take them seriously.",470,201,61,A
Divisions between US President Joe Biden and Israeli Prime Minister Benjamin Netanyahu burst out into the open again over the weekend.,520,1061,65,D
The woman whose story Alabama Sen. Katie Britt appeared to have shared in the Republican response to the State of the Union as an example of President Joe Biden’s failed immigration policies told CNN she was trafficked before Biden’s presidency and said legislators lack empathy when using the issue of human trafficking for political purposes.,621,851,134,D
"While few will know how Sweeney truly feels about the cultural conversation swirling around her image since a now-infamous ""SNL"" appearance, one can only hope that she’s been in on the joke from the start.",339,287,38,A
Polls show many Americans remain unaware of the steps Biden has taken since becoming president to bring the cost of health care down.,796,1022,76,D
"Cardoso, South Carolina’s leading scorer and rebounder, may be suspended for her role in the scuffle.",608,543,86,B
"The show was defined by its playfulness and punctuated by moments of fun, with Ryan Gosling’s contributions worth the price of admission alone.",1418,477,62,A
"The group included five members of the same family, police said.",752,150,49,F
"Multiple former senior advisers recount Trump's praise for leaders including Adolf Hitler, Vladimir Putin and Kim Jong Un, warning he's ill-suited to lead the US.",847,1327,166,D
"Here are 5️⃣ things you need to know today:

1️⃣ Netanyahu remarks on Rafah
2️⃣ Biden and Trump kick off rematch
3️⃣ Oscars highlights
4️⃣ Pope attracts heavy criticism
5️⃣ Laken Riley",167,394,47,D
"One passenger said that the plane “just stopped,” and that “people were flying around.”",158,82,21,F
"The president’s budget is a primarily aspirational document, which the White House can use to highlight legislative and policy priorities.",392,547,35,D
"The photograph was the first official picture of Kate since she underwent surgery in January. Hours after it was released, major photo agencies issued “kill notices,” expressing concerns it had been edited.",191,132,32,A
"""President Joe Biden and ex-President Donald Trump are battling as though their general election showdown is eight days rather than eight months away,"" writes Stephen Collinson | Analysis",326,1008,70,D
"The United States and other diplomatic missions have begun evacuating personnel from Haiti, as gang violence in the Caribbean nation’s capital Port-au-Prince continues to spiral",295,301,87,D
Devastation in Gaza as Israel wages war on Hamas | Follow live updates.,296,522,47,D
"Russia appears on track to produce nearly three times more artillery munitions than the US and Europe, a key advantage ahead of what is expected to be another Russian offensive in Ukraine later this year.",406,341,63,D
"The Biden administration is not anticipating that Israeli forces will imminently expand their military operations into Rafah, two US officials told CNN, with the holy month of Ramadan set to begin Monday for most Muslims",165,234,39,D
"Florida law enforcement officials say they are working to help free a sperm whale beached off the coast of Venice, Florida.",440,126,60,D
"Two people were killed and four others were wounded in a shooting in Jonesboro, Arkansas, according to law enforcement officials. The alleged shooter is dead, police say.",229,264,57,D
Maintaining a balanced diet during this holy month is necessary in order to keep the body energized for prayer and other practices throughout the day.,704,320,68,F
"There was little mention of politics at the Oscars ceremony, but there were multiple calls for global peace.",215,184,36,D
"A skier has died after she fell nearly 600 feet down an icy ravine on Mount Washington in New Hampshire over the weekend, officials say.",539,107,65,B
Oscars host and late night funnyman Jimmy Kimmel called out former President Donald Trump on stage after Trump insulted Kimmel and his hosting on social media.,2591,1016,143,D
"A small plane crash into a wooded area near Virginia’s western border, bursting into flames and killing all five people on board, including a juvenile, authorities said.",328,67,38,D
There are constant reminders in our everyday surroundings of the many chapters of life that have unfolded on Earth.,644,390,123,E
"“Oppenheimer” wins the Oscar for best picture, sweeping the major awards tonight. https://cnn.it/3V7lkXC",4818,658,288,A
"President Biden said he wanted to “wake up Congress” with his fiery State of the Union address, but what he actually achieved was proving to Americans that he is indeed awake and capable of doing his job. | Analysis by Zachary B. Wolf",1306,1050,48,D
"Emma Stone has won the Oscar for best actress in a leading role, thanks to her daring portrayal of Bella Baxter in ""Poor Things."" https://cnn.it/3PdZoX3",5319,713,200,A
"Cillian Murphy portrayed the eponymous J. Robert Oppenheimer, father of the atomic bomb, in Christopher Nolan’s epic “Oppenheimer.” This was his first Academy Award nomination, and now his first win. https://cnn.it/4c6ZVDY",15202,915,817,A
Ryan Gosling brought his “Kenergy” to a new level while performing his Oscar-nominated song “I’m Just Ken” during the Academy Awards. https://cnn.it/438Kmrj,15227,1170,497,A
"Ukrainian and European officials slammed comments by Pope Francis, who said Kyiv should negotiate with Russia to end the fighting.",472,516,37,D
The collection of feminine chainmail was a subtle play on power dressing — appropriate for the movie’s message of female empowerment.,557,142,25,A
Don't call it a comeback. https://cnn.it/3PbZ2jC,44198,2339,1362,A
"A pool of potential jurors faced weighty issues during jury selection, and ultimately those factors will weigh on the panel that will consider the involuntary manslaughter charges against James Crumbley, the father of a teen who killed four students at a Michigan high school in 2021.",124,75,10,C
John Cena literally bared it all at the Oscars. https://cnn.it/4c6B5UP,13245,3398,660,A
"News agencies recall image of Catherine, Princess of Wales, saying they believe the photo has been manipulated",256,132,33,D
"The 96th Academy Awards' categories are filled with stars who have produced moments of red carpet magic in recent months, from America Ferrera to Da'Vine Joy Randolph.

See the best red carpet looks here: https://cnn.it/3Ta4814",2146,254,71,A
"Detectives probing the death of a 96-year-old California woman nearly two years ago have uncovered that she was the victim of an elaborate murder-for-hire and reverse-mortgage scam that sought to gain control of her home, authorities said.",550,289,40,D
"Da’Vine Joy Randolph won her first-ever Oscar for her performance in “The Holdovers,” capping off an impressive sweep through this year’s award season.
https://cnn.it/3wYbwF6",5348,742,156,A
"House Republican leaders are bullishly predicting that they will grow their majority in the 2024 elections, contending that Donald Trump will actually be an asset in swing suburban districts where he has long struggled.",1130,1206,28,D
"Billie Eilish and several stars wore matching red lapel pins to the Academy Awards, but what do they mean?

The pins call for a ceasefire in the Israel-Hamas war. A group of over 400 stars have joined Artists4Ceasefire, which in late October first published a letter urging the US Congress and President Joe Biden to call for an immediate ceasefire in Gaza and Israel. https://cnn.it/439Wrwu",2508,1480,151,D
"Vanessa Hudgens revealed on Sunday that she’s expecting her first child with her husband, Major League Baseball outfielder Cole Tucker. https://cnn.it/4c1yb3w",3060,405,70,A
"Stars are arriving on the red carpet for Hollywood's biggest night. Will ""Oppenheimer"" dominate or will there be an upset? 

Follow live Oscars updates:",309,269,23,A
"Though the share of Americans who say they don’t believe in a higher power has increased in the past decade, some people still view atheists negatively. Here's what to know.",242,650,36,D
"A Moscow court sentenced a Russian university student to 10 days in jail for naming his Wi-Fi router with a pro-Ukrainian slogan, Russian media reported.",360,480,36,C
The Body Shop has shut down all of its US-based operations and will be closing dozens of Canadian store locations as it files for bankruptcy.,405,326,104,D
Russia has begun using a powerful aerial bomb that has decimated Ukrainian defenses and tilted the balance on the front lines.,546,746,53,D
A freelance journalist tracked down what appears to be the story Britt referenced and found that it happened in Mexico in the mid-2000s.,1013,1140,196,F
"A preliminary report found that both the pilot and co-pilot fell asleep simultaneously for 28 minutes, causing navigational errors as “the aircraft was not in the correct flight path.”",654,253,119,E
"Republican Sen. James Lankford of Oklahoma tells CNN's Jake Tapper that the United States should ""lock the clock"" and make Daylight Saving Time permanent.",483,387,64,D
"The March 10 anniversary is a difficult one for the families of the 157 people on board the Ethiopian jet, because concerns over Boeing’s safety and quality have been in the news so much in the last two months.",218,102,23,D
"""It's not us. It's you"": Miami Beach is trying to split up with spring breakers.",1063,791,67,D
"Women gain about 1½ pounds per year during their 40s and 50s. But is menopause really to blame?

As with so many health issues, it’s complicated.",199,259,49,E
"Bali is one of the world’s most popular vacation destinations. The streets tingle with the whizz of motorbikes and the happy buzz of music pouring out of local cafes.

But one day a year, the entire island falls silent.",479,258,130,A
"Here are 5️⃣  things you need to know today:

1️⃣  Russian hackers breached Microsoft systems
2️⃣  Dueling presidential campaign visits
3️⃣  Trump's $91.63 million bond
4️⃣  Biden signs government funding bills
5️⃣ Drug trafficking by former Honduras president",218,229,84,D
"Scarlett Johansson – otherwise known as Mrs. Colin Jost – made a cameo appearance during the ""SNL"" cold open, playing Alabama Sen. Katie Britt in her much-talked about GOP rebuttal to President Biden’s State of the Union.",2336,1004,153,A
"Prince Harry and his wife Meghan, Duchess of Sussex, visited Uvalde, Texas on Saturday and met with the family of Irma Garcia, a beloved schoolteacher killed in the Robb Elementary School shooting.",425,384,25,C
"In Hokkaido, Japan, a skier found himself falling into a hidden waterfall.

New Zealand native Sean Toms' GoPro captured his fall and struggle to climb back up through gushing water.",2155,301,274,B
A non-profit run by an early AI investor has emerged as one of the largest backers of a dark-money group boosting President Biden.,274,591,31,D
Toyota’s decision to favor hybrids has paid off handsomely. But some experts say Toyota’s lobbying is holding back the EV industry – and a critical climate solution.,183,106,33,D
"Issues with surveillance systems like cameras and doorbells continue to make headlines, stoking security and privacy concerns.",233,138,43,E
"A now-former forensic scientist with the Colorado Bureau of Investigation manipulated or omitted DNA test results in hundreds of cases, an internal affairs investigation found.",400,165,88,E
"While undoubtedly fun, being a red carpet photographer is not all glamour.",299,133,30,A
"News agencies recall image of Catherine, Princess of Wales, saying they believe the photo has been manipulated",3265,436,73,D
"The trees didn’t have any leaves, but had twig-like structures covering their branches.",393,281,55,E
"A daily step goal may cut disease and death risk in even otherwise sedentary people, a study found.",294,92,73,E
"Stone tools unearthed in a quarry in Ukraine belonged to ancient humans who used them more than a million years ago, according to new research.",468,230,70,E
"The study is ""the first that associated the plastic contamination with human diseases,” according to its lead author.",252,130,97,E
A chance discovery made in France by an amateur paleontologist walking his dog has revealed a rare specimen.,1454,256,187,E
"A single dose of LSD provides immediate and lasting relief from the most common mental disorder in the US, a study found.",385,261,77,E
The head of the estate that hosted the exhibition said he believed the theft was the work of a “highly specialized gang.”,230,120,32,F
"Russia’s full-scale invasion of Ukraine accelerated a process already two decades in the making — the erosion of democratic freedoms, media independence and civil society at home. With the war now in its third year, and Putin set to be re-installed for a fifth term in a tightly-controlled election next week, there are signs that this process is picking up speed once again.",489,713,68,D
Who will win big this Oscars weekend? Comparisons are already being made to 1998 and 2004.,233,283,22,A
"Falling consumption of wine worldwide has hit particularly hard in Australia.

“There’s only so long we can go on growing a crop and losing money on it,” said one fourth-generation vine grower. https://cnn.it/3PfZ8Xo",190,115,23,D
"""It’s not catty. It’s cruel,” the Duchess of Sussex said.",609,514,36,D
"In recent years, DEI has become a social and political lightning rod for lawmakers, corporate leaders and conservative activists.",266,732,35,D
Aid agencies say the drawbacks of airdrops overwhelmingly outweigh their benefits.,336,824,41,F
Aldi says it plans to open 800 new stores nationwide in a $9 billion expansion plan.,351,331,64,E
"It was the carrier’s fourth emergency in a week, after a tire fell off one flight and an engine caught fire on another.",400,253,95,E
Hostage and Wrongful Detainee Day will be annually recognized on March 9 – the date on which former FBI agent Robert Levinson was abducted in Iran 17 years ago,204,250,40,C
The horror film “Winnie the Pooh: Blood & Honey” took the Razzie for worst picture.,407,256,35,A
"Alabama Sen. Katie Britt graphically described a woman’s story of being “sex trafficked by the cartels starting at age 12,” during the Republican response to the State of the Union address on Thursday, using the story as an anecdote of, what she called, President Joe Biden’s failed immigration policies.

But the story she seemed to describe didn’t take place during Biden’s time as president or vice president, nor did it happen in the US.",826,1354,197,D
"Eighty years ago, golf went to war.",125,91,36,B
"A leopard surprised 12-year-old Mohit Ahire in a wedding hall in Malegaon, India. According to the hall's owner, Anil Pawar, the leopard has been seen in the village several times; it comes from a forest nearby.

Local reports claim after this incident the leopard was tranquilized and relocated into back to its natural habitat unharmed.",9055,1490,1173,F
"Thirty years ago, Tom Hanks delivered a performance that reverberated through Hollywood. It wasn’t in a movie.",3096,559,103,A
"Casamigos, founded by George Clooney and Rande Gerber in 2013, attracted mass attention. Four years later they sold the tequila brand to liquor giant Diageo for $1 billion, and the industry gold rush was on.",253,310,40,A
"Besting 111 of her fellow titleholders from across the globe, Krystyna Pyszková of the Czech Republic has been crowned Miss World 2024. https://cnn.it/3IxfyqS",14710,1967,1004,A
"After the game, Gobert acknowledged that he made a mistake in reacting the way he did, saying that his “immature reaction” cost his team the game. But he also went onto suggest that sports betting is influencing the way NBA games are being officiated.",600,270,40,B
"In travel news this week: Vacation love stories that began and ended in Paris or London, aviation misadventures in Thailand and China, plus a look at why prices are rising as tourist numbers increase.",186,99,39,A
"Meghan, Duchess of Sussex, took to the stage at South by Southwest in Austin, Texas, to speak candidly about the online abuse she experienced during her pregnancies.",681,448,54,A
"In an embarrassing defeat, the Irish government conceded that it lost two votes to change what it called “sexist” language in its constitution.",183,118,18,D
People in East Palestine were told their homes were clear of toxins last year. That might not have been the case,163,286,18,D
JUST IN: President Biden has signed key government funding bills into law after lawmakers raced to avert a partial government shutdown – but another deadline is approaching.,1566,931,92,D
"From how airplane toilets work to heating food onboard, here’s how flight crew make everyday life happen at 40,000 feet.",422,103,65,E
"Some are stabbed, some are shot, some are strangled. But all the women killed by femicide in Italy have one thing in common: they knew their killers.",263,264,50,C
"Another day, another record broken by Iowa’s Caitlin Clark",1168,558,75,B
"Progressive Gen Z voters and social media influencers talk to CNN's Camila DeChalus about President Biden's campaign efforts on TikTok. Some applaud the effort to reach younger voters, while others say it feels performative.",271,427,21,D
"The long-term goal is to create a living, walking elephant-mammoth hybrid that would be visually indistinguishable from its extinct forerunner",772,597,145,E
"For more than 35 years, two families in Virginia have been left without knowing who brutally killed a beloved member of each of their families.

Now, a major investigative break finally has arrived for one family – and perhaps soon could for the other – thanks to advances in science one grieving mother called “incredible.”",283,151,34,C
"Donald Trump and a small group of close advisers met with Hungarian Prime Minister Viktor Orbán for roughly an hour Friday night at the former president’s Mar-a-Lago resort, sources familiar with the matter told CNN",956,1542,137,D
"For more than two weeks, a cyberattack has disrupted business at health care providers across the US, forcing small clinics to scramble to stay in business and exposing the fragility of the billing system that underpins American health care.",178,255,48,E
"As more and more Ukrainians join the war effort, the country’s women are increasingly stepping into roles conventionally filled by men – and not just in the military",383,302,40,D
"A US military helicopter crashed Friday afternoon near the southern border killing two soldiers and a US Border Patrol agent, according to a statement from the military",381,461,73,D
It was over before it really began in Saudi Arabia as Anthony Joshua pummeled his way past Francis Ngannou with a devastating knockout blow in the second round,278,152,40,B
The Haitian capital has been gripped by a wave of highly coordinated gang attacks on law enforcement and state institutions in what gang leader Jimmy Cherizier has described as an attempt to overthrow Prime Minister Ariel Henry’s government,261,247,54,D
"Biden administration prepared ""rigorously"" after reaching a startling assessment in 2022: Russia might launch a nuclear attack on Ukraine",418,375,72,D
"The Rainbow Youth Project USA, a national organization devoted to LGBTQ youth suicide prevention, saw a 238% increase in crisis calls from Oklahoma in the weeks since 16-year-old Nex Benedict died.",447,1008,93,C
A Vermont man accused of killing actor Treat Williams in a 2023 vehicle crash plead guilty Friday to a reduced charge of negligent driving with death resulting and will avoid prison time.,276,136,52,D
"Jackson Mahomes, the younger brother of Kansas City Chiefs quarterback Patrick Mahomes, was sentenced to six months of unsupervised probation on Thursday after pleading no contest to a simple battery charge, according to court records.",169,107,40,D
"Fire detection sensors are being placed around Maui and other Hawaiian islands to respond more quickly when wildfires break out, Gov. Josh Green announced.",213,113,47,E
"A Colorado jury has awarded $3.76 million to a grandmother whose house was damaged and ransacked after Denver police relied solely on Apple’s “Find My” app and stormed the wrong home, according to court documents.",590,306,66,C
A new teaser trailer for “Inside Out 2” features three new animated characters running around in Riley’s mind.,388,95,42,A
Wegovy’s not just for weight loss anymore.,245,146,53,A
"Scientists have speculated about how Archimedes’ death ray purportedly harnessed sunlight to burn ships. Now, a teen may have evidence the device was plausible.",370,113,55,E
"At some point in most people’s fitness journeys, they hit a plateau -- but fear not. Breaking out of this rut is achievable with the right approach.",167,81,33,E
"A federal agency in charge of cybersecurity discovered it was hacked last month and was forced to take two key computer systems offline, an agency spokesperson and US officials familiar with the incident told CNN.",253,162,79,E
The discovery is changing the way researchers think about avian evolution.,420,80,45,E
“The Little Mermaid” star kept her recent pregnancy private for good reason.,952,471,47,A
"An Ohio man was arrested on Friday afternoon while trying to enter the US Capitol with a hammer, US Capitol Police said in a news release.",336,402,53,D
"It’s part of a security plan to control the territory for months and possibly years to come, Israeli officials have said.",277,515,32,D
Demand for workplace etiquette training surged over the past two years as companies grapple with the fact that some employees brought their at-home habits back to the office.,227,120,62,C
"Two men were arrested Thursday and charged with causing the deaths of two people after the boat they were operating capsized in New York City’s Hudson River in July 2022, federal prosecutors said.",133,55,32,D
"For more than a century, many people of Irish descent have faced a daunting predicament when searching for details about their families’ pasts.",638,223,227,D
"A multi-country prisoner exchange that might have freed Russian opposition leader Alexey Navalny was being discussed and progressing when he died last month, multiple sources have told CNN, and included the direct involvement of a Russian oligarch, Roman Abramovich.",187,145,28,D
"Archaeologists have discovered the earliest dated cave paintings in South America in Argentine Patagonia, dating back 8,200 years",481,181,72,E
The US Coast Guard and local authorities are investigating an oil sheen in the waters off Huntington Beach in Southern California.,205,75,50,E
She fled North Korea but was sold to a man in China. Her second escape came nearly 20 years later.,210,108,71,D
"This week, a key House committee introduced and approved a bill targeting TikTok. Here’s everything you need to know about the hot-button legislation.",151,184,33,C
"Archeologists in Turkey say they have discovered the world’s oldest known bread, dating back to 6600 BC.",730,223,111,E
A man who spent decades in prison before starting a new chapter as a high-profile advocate for criminal justice reform has been arrested and charged in the brutal murder and dismemberment of a Bronx man.,241,209,38,D
"In recent days, Haiti has made global headlines for gang violence and, on March 3, a mass prison break in Port-au-Prince led the government to declare a state of emergency after thousands of inmates escaped.",206,148,52,D
The final chapter of winter has been written and it’s the story of a season that didn’t live up to its name.,558,477,94,A
"OpenAI, the ChatGPT maker that has been in management upheaval for more than four months, announced that its co-founder and CEO Sam Altman would return to its board of directors as part of a reshaped oversight team.",128,32,29,E
"The plan for the US military to set up a floating dock, announced by Biden in his State of the Union address Thursday night, was rolled out just days after the US began air-dropping meals into Gaza.",323,856,44,D
"Akira Toriyama, the Japanese manga artist who created the enormously popular and influential Dragon Ball series, died of a brain condition last week at the age of 68, his production studio said Friday.

Toriyama was the mind behind the fantasy martial arts franchise featuring Son Goku, a boy from outer space with superhuman strength and a monkey tail. The Dragon Ball universe remains one of Japan's most successful global hits, captivating the hearts of many manga-loving teens and adults from around the world since its debut in the 1980s.",2649,156,1008,A
"They’ve been harassed, arrested, even deported. But they continue to fight for women’s and LGBTQ+ rights.",133,74,8,D
"With a possible future title fight on the line, there’s a lot riding on Joshua and Ngannou’s clash. Here’s everything you need to know.",209,91,20,B
Former President of Honduras Juan Orlando Hernández was found guilty Friday of drug trafficking by an American jury after a two-week trial in Manhattan federal court.,314,99,59,D
"CNN's Clarissa Ward spoke to protesters led by the ""Tsav 9"" movement, a grouping of demobilized reservists, families of hostages and settlers. Protesters at Kerem Shalom, Israel's sole functioning border crossing with Gaza, are hoping to prevent food and supplies from entering Gaza to force Hamas to release hostages. https://cnn.it/3IuG4AY",625,1288,226,D
"Food workers wash their hands as they should only one in three times, according to the Centers for Disease Control and Prevention.",213,93,57,E
"Thunderstorms are bubbling up across the South, opening the door for significant flooding, damaging winds, hail and possible tornadoes to pound the region through Saturday.",170,89,45,F
"Hard-won strides have been made for gender equality, but a growing movement threatens to reverse them.",129,195,7,D
"Eight-year-old Woodjina Cadeau was shot while playing outside in her neighborhood in Haiti. CNN's David Culver spoke with her about her harrowing experience.

As gangs rampage in Haiti's capital Port-au-Prince, several children and teenagers tell CNN they have been orphaned, wounded, raped and even recruited by members of these armed groups.",125,69,28,D
"In the run-up to Hollywood’s biggest night, the breakout star of “Killers of the Flower Moon” is spotlighting a cause close to her heart as she makes history.",201,116,38,A
Affordable housing advocates praised Biden’s plan to help would-be homeowners afford to buy. But critics say Biden’s plan could only exacerbate the problem.,397,472,59,D
"The medicine had been expected to be cleared by the end of the first quarter of this year, after being pushed back already from an expected approval last year.",102,77,31,E
"The family of a Maryland man who was fatally shot by a Prince George's County Police Department officer in February is demanding justice after bodycam footage of the incident was released.

The incident is under investigation by the Maryland Attorney General's office.",174,145,41,D
"As gangs rampage in Haiti’s capital Port-au-Prince, several children and teenagers tell CNN they have been orphaned, wounded, raped and even recruited by members of these armed groups.",168,150,27,D
"Steve Lawrence, a Grammy and Emmy-winning pop singer who often performed with his late wife Eydie Gormé as the duo Stevie & Eydie, died Thursday, according to a statement from his publicist.",586,179,87,A
The Pentagon says new detection kits will collect better data on reported sightings -- but none reviewed so far have found alien life or technology.,204,174,33,E
"Spanish police said they have shut down an alleged forgery ring selling fake Banksy artworks across the US and Europe for up to $1,642 a piece.",102,71,36,D
"At least 287 school children, some as young as eight years old, are being held by gunmen who raided their school in Nigeria’s northwestern Kaduna State early Thursday, a police spokesperson said.",334,243,52,D
"Fighting temperatures as low as minus 4 degrees Fahrenheit and winds as strong as 50 mph, Donna Urquhart ran 871 miles over the course of 28 days",380,184,73,B
"Several cars were damaged but there were no reports of injuries, a San Francisco airport spokesperson said.",251,185,68,F
"Russian state-backed hackers gained access to Microsoft's core software systems, company says in update to intrusion first disclosed in January.",202,281,60,E
Hungarian Prime Minister Viktor Orbán is taking his blueprint on dismantling democracy to Mar-a-Lago | Analysis,700,979,142,D
JUST IN: Donald Trump posts $91.63 million bond as he files notice to appeal the judgment against him in E. Jean Carroll defamation case.,1574,1983,161,D
You’re having fun playing golf and then a mob of kangaroos suddenly interrupts your round.,548,179,87,F
"Three inmates who escaped from prison in Grenada have been charged with killing two Americans after allegedly hijacking their yacht last month to flee to St. Vincent and the Grenadines, police said Thursday",243,206,46,D
The clock is ticking for Donald Trump to pony up roughly half a billion dollars to satisfy two recent courtroom losses,1531,1894,109,D
The catastrophic condominium collapse that killed 98 people may have been decades in the making.,202,139,51,D
For the past 10 years it has remained one of the modern era’s greatest mysteries.,187,144,50,F
"Red Bull has suspended the female employee who accused F1 team principal Christian Horner of inappropriate behavior, according to multiple reports",348,185,47,D
"Sam Waterston just said goodbye to ""Law and Order"" after more than 400 episodes as DA Jack McCoy. He talked about the success of his TV character and why he decided it was time to leave. https://cnn.it/48NCuwB",359,178,96,A
Costco locked in $1.50 hot dog and soda loyalists. Now it's chasing a different clientele: precious metal investors and collectors.,301,236,71,F
"Akira Toriyama, the Japanese manga artist who created the enormously popular and influential Dragon Ball series, died of a brain condition last week at the age of 68, his production studio said Friday",1406,187,288,A
Hundreds of seabirds have been found dead on French Atlantic beaches,373,126,61,F
It’s the second time Murdoch has been engaged in a year,821,517,79,F
"The untold story behind the devastating mission. The CNN Original Series Space Shuttle Columbia: The Final Flight premieres Sunday, April 7 at 9p ET/PT on CNN.",611,198,129,A
"Even as unemployment remains historically low and recession fears fade, consumer credit scores are starting to buckle.",201,444,58,D
A former congressional candidate who once ran for office in Nevada and Texas has been arrested on a murder charge in the death of a man exonerated after serving more than 20 years in prison for a crime he didn’t commit.,325,164,131,D
"The Minneapolis Branch of the NAACP and Children's Rights, an advocacy group, have filed a complaint with the US Department of Health and Human Services.",217,246,60,C
"Scientists working in southwest England have found the oldest fossilized forest known on Earth, according to a new study.",495,224,102,E
"As President Joe Biden addressed Congress and the nation during his State of the Union speech on Thursday, tens of thousands of Palestinians face an increasingly harrowing humanitarian crisis – one that officials warn is hurling the territory into a famine.",706,1455,77,D
"The passenger who allegedly threw the coins was later taken away by airport police, state media reported, citing Chinese Southern Airlines.",304,85,58,D
"President Joe Biden delivered the State of the Union address Thursday night.

He made many claims that are misleading and need more context.",918,1721,170,D
"President Biden delivered a forceful, often ad-libbed speech as he took on Trump in the most political State of the Union in years. 

Here are key takeaways.",2222,3207,202,D
"“It is one of the hardest decisions to call off a search, and we offer our deepest condolences to the families and friends affected by this tragic event.”",394,86,56,F
"Former GOP Rep. George Santos, who was expelled from the House last year, announced Thursday night that he’s running for Congress again — this time to challenge a Republican congressman in New York.",1727,748,113,D
The first fatal attack on a commercial vessel in the Red Sea since Iran-backed Houthi rebels began targeting ships late last year has laid bare the enormous challenge of restoring safe passage along one of the world's most important trade routes.,206,271,36,D
"Australia’s Great Barrier Reef is suffering a mass bleaching event, the reef’s marine park authority confirmed Friday, the result of soaring ocean temperatures caused by the global climate crisis and amplified by El Niño.",244,71,41,E
"Education Secretary Miguel Cardona is this year’s designated survivor, retreating from Washington to an undisclosed location during President Joe Biden’s State of the Union address Thursday.",357,242,34,D
"An Israeli woman taken hostage by Hamas in Gaza has described the “hell” of being held captive, after her husband and daughter were murdered, telling CNN her captors would not allow her surviving young children to cry and tried to convince them they “had been forgotten.”",231,626,39,D
"President Joe Biden will deliver a high-stakes State of the Union address as he makes his case for reelection.

Watch live coverage on CNN, CNN.com without a cable login or CNN Max.",1030,2121,141,D
"Allies of former President Donald Trump held meetings with top officials in Israel last week to discuss the current conflict in Gaza, according to three sources familiar with the trip.

The visit comes as the presumptive Republican nominee has offered few specifics on how he would approach the war in Gaza.",463,485,38,D
"A look at who attends the president's State of the Union speech, who sits on the stage and who is in the chamber.",209,422,23,D
